title,text,category
"姑妄言之","我经过深思熟虑、反复权衡利弊、咨询了内心最理性的那一面之后，决定再睡五分钟。","philosophy"
"观自在","在量子层面上，我的袜子是一只穿了又像是没穿的叠加态。","philosophy"
"无事帖","我并非懒惰，而是在以一种极低的代谢成本维持生命系统的稳定运行。","philosophy"
"枕上录","经过缜密的内部辩论与多轮自我谈判，谈判破裂，我还是把那块蛋糕吃了。","philosophy"
"夜思","我对宇宙抱有最深沉的敬畏,所以我决定不洗碗。","philosophy"
"无题之一","这不是拖延,这是在等待时机的成熟,而时机非常成熟地始终没来。","philosophy"
"空山","存在的本质，是我没存到钱。","philosophy"
"有所思","时间是个谜,因为我也不知道它去哪儿了。","philosophy"
"如是","万物皆有裂痕,那是我又把杯子摔了的地方。","philosophy"
"默想录","意识到自己的局限,是一种局限。","philosophy"
"观鱼记","我思故我在,我不思,可能就睡着了。","philosophy"
"守拙","真理往往掌握在少数人手里,而我恰好在大多数人那一拨。","philosophy"
"止观","凡是不能让我变强的,确实没让我变强。","philosophy"
"自省","认识你自己——然后你会发现没什么好认识的。","philosophy"
"游心","向内求,内里是空的;向外求,外面也是空的。","philosophy"
"闲思偶记","命运的齿轮开始转动,转了一圈又回到原地。","philosophy"
"形而上小品","每个人心中都有一团火，我心中那团火灭了。","philosophy"
"玄览","众生皆苦,我尤其苦,因为我还要看着众生苦。","philosophy"
"无所住","看破红尘的第一步,是先把红尘看清楚,而我连这一步都没做到。","philosophy"
"混沌录","我不是在思考人生,我是在发呆,但效果差不多。","philosophy"
"晨录","经过一夜的深度休整,我已做好了再休整一会儿的准备。","daily"
"起居注","起床这件事的难度,与床的舒适度成正比,而我的床非常舒适。","daily"
"琐记之一","我整理了房间,具体表现为把东西从这边挪到了那边。","daily"
"家务考","扫地是一种近似的运动,因为它确实让我动了一下。","daily"
"沐浴札","洗澡时灵感最多,因为只有那时我什么都不能记下来。","daily"
"出门记","我已经做好了出门的全部心理准备,只差一个出门的动作。","daily"
"乘车录","通勤的意义,在于让你忘记自己上一次开心是什么时候。","daily"
"归途","下班的脚步是欢快的,因为它知道明天还要再来一次。","daily"
"夜归","我并不熬夜,我只是在夜里没有睡。","daily"
"枕边语","失眠的妙处在于,你能完整体验时间的流逝。","daily"
"梦后题","梦境是免费的电影,只是剧本通常很烂。","daily"
"假日小记","周末过得特别快,这一现象至今未被科学解释。","daily"
"假期反思","放假的本质,是把累从工作日转移到了周一。","daily"
"天气帖","下雨天和不带伞更配,这是我反复验证的结论。","daily"
"出门后录","天气预报的准确率,在我出门那一刻达到峰值——并且总是反向。","daily"
"超市偶得","我去超市买一瓶酱油,出来时拎着八件无关的东西。","daily"
"快递记","等快递的痛苦,在于它总是比预想的晚,又比起床的时间早。","daily"
"洗碗辞","积攒餐具是一种艺术,洗它们则是一种修行。","daily"
"理发记","理发师懂的发型,比我懂的多;我想要的发型,他懂的少。","daily"
"拖延帖","我把要做的事推到了明天,作为对今天的尊重。","daily"
"书桌前","桌面整洁与脑子清醒成正相关,所以我桌面很乱。","daily"
"镜中题","镜子是诚实的,这就是它最大的缺点。","daily"
"称重日记","体重秤是世上最不善解人意的家具。","daily"
"公文包内","我热爱工作,但工作不一定爱我。","work"
"周一帖","周一的存在是为了证明周末确实结束了。","work"
"会前札记","开会的目的,是开下一次会。","work"
"会后札记","经过激烈讨论,我们一致同意下次再讨论。","work"
"汇报辞","向上汇报是一门艺术,把没做完说成已推进。","work"
"绩效感言","我的产出是无法用数字衡量的,主要因为它确实没什么数字。","work"
"加班录","加班是一种自愿的强制行为。","work"
"摸鱼帖","在工位上发呆是一种待机状态,以备随时被叫醒。","work"
"茶水间记","茶水间是公司里唯一能讲真话的地方,前提是确认没有人。","work"
"辞呈未发","我每天都想辞职,我每天都没辞。","work"
"升迁观","升职意味着用更高的薪水去做更不想做的事。","work"
"述职偶题","我做了很多事情,具体是哪些事情,需要进一步整理。","work"
"年终感言","感谢公司给了我一年的成长机会,虽然我没怎么长。","work"
"钉钉考","信息已读不回,是一种现代礼仪。","work"
"邮件辞","请见附件——附件中没有附件。","work"
"OKR赋","我把目标定得很高,以便后期解释为什么没完成。","work"
"PPT赞","一份好的 PPT 能让没做的事看起来像做了。","work"
"项目复盘","复盘的核心是寻找一个可以归咎的对象,且不是自己。","work"
"求职偶得","我的优点是抗压,缺点是在压力下表现不稳定。","work"
"面试记","我希望加入贵司,主要是因为前一家不愿意我留下。","work"
"offer辞","薪资倒挂是一种行业现象,通常受害者是我。","work"
"离职信草稿","感谢公司的栽培,感谢之处难以一一列举,主要因为不多。","work"
"通勤考","上班路上想到的好点子,到了工位就忘了。","work"
"勤学帖","我的学习计划制定得非常周密,执行得非常随便。","study"
"夜读","深夜读书最容易困,因为身体诚实。","study"
"书前题","买书如山倒,读书如抽丝,抽到一半线断了。","study"
"启蒙录","我从一本书中学到了很多,主要是这本书我读不下去。","study"
"笔记考","做笔记的过程让我感觉学到了,实际上没有。","study"
"背单词记","我每天背单词,每天忘记的也是它们。","study"
"英语感言","我的英语水平,够看懂菜单,但点不出菜。","study"
"数学小记","数学是一门优美的学科,从不和我互动。","study"
"历史观","读史使人明智,明智地知道自己什么也没记住。","study"
"哲学一瞥","我读哲学是为了搞懂一些事,读完后更不懂了。","study"
"考前题","复习的精髓在于,我总是把范围之外的复习得很好。","study"
"考后录","考完试我会忘记一切,这是一种自我保护机制。","study"
"成绩偶记","我的分数充分体现了我的努力——的不足。","study"
"错题集序","错题集越厚,说明错得越认真。","study"
"教材后记","教材的最后几章,通常永远地保留了它们的神秘感。","study"
"课堂札记","上课的精神状态,呈现一种波形,且波幅很小。","study"
"自习考","图书馆的座位是用来占的,书是用来看别人看的。","study"
"毕业感言","读了那么多年书,我学会了一件事——还是不够。","study"
"新年立誓","今年我一定要看完那十本买了三年的书。","study"
"作业辞","作业的难度与截止日期成反比,与拖延时间成正比。","study"
"调试录","我的代码能跑,我不知道为什么,但我也不敢动它。","tech"
"报错帖","报错信息越长,越说明问题不止一个。","tech"
"Stack Overflow 颂","答案永远在搜索结果第二条,且需要翻译。","tech"
"文档观","好的文档能解决一切问题,所以我们没有。","tech"
"注释考","代码里的注释和代码不一致时,通常代码是对的。","tech"
"命名辞","变量命名是计算机科学的两大难题之一,另一个我忘了。","tech"
"Git日记","我提交了一个 commit,信息是 fix bug,具体修了什么我也忘了。","tech"
"merge偶记","解决合并冲突的最快方法,是接受所有更改并祈祷。","tech"
"重构辞","重构的本质,是把旧的乱摊子换一个新的乱摊子。","tech"
"线上事故记","出问题的那一刻,所有人都不在工位。","tech"
"回滚赋","上线五分钟,回滚一小时。","tech"
"评审之后","代码评审会上没人提问,通常意味着没人看懂。","tech"
"加密备忘","我设了一个非常复杂的密码,然后我自己也记不住了。","tech"
"数据库考","SELECT * 在生产环境是一种信仰行为。","tech"
"正则记","我写了一个正则,它现在掌握我了。","tech"
"CSS辞","div 的行为难以预测,这就是 div 的浪漫。","tech"
"JS赞","JavaScript 的类型系统体现了一种宽容的人生观。","tech"
"响应式悟道","屏幕在变小,我的耐心也在变小。","tech"
"环境配置","在我的机器上能跑——这是一句可以承担法律责任的话。","tech"
"依赖记","安装一个包,顺便装了一个生态。","tech"
"更新帖","更新到最新版的代价,是失去之前能用的一切。","tech"
"Stack Trace","顺着调用栈一路往下,最后发现是自己。","tech"
"黑屏录","电脑死机的瞬间,你才知道自己有多久没保存。","tech"
"备份感言","备份是从来没出过事时最不必要的事,出了事时最必要的事。","tech"
"测试辞","我写了一个测试用例,它过了,但我对此持保留意见。","tech"
"社交辞","我喜欢热闹,喜欢的方式是看着别人热闹。","relationship"
"宴席题","饭局上发言最少的那个人,通常是想最多的那个。","relationship"
"聚会后","回家路上才想起来,刚才那句话应该那样说。","relationship"
"微信感言","回复消息的速度,与对方在我心中的位置成正比;反过来不一定。","relationship"
"朋友圈考","三天可见是一种社交礼貌。","relationship"
"点赞辞","我点的赞从未代表过任何观点。","relationship"
"聊天记","我们聊了很多,谁也没听明白对方在说什么,但都很愉快。","relationship"
"同学会","聚会的意义在于,提醒你为什么很久没见。","relationship"
"送礼考","选礼物是一种博弈,通常我输。","relationship"
"情书草稿","我想说的话很多,写出来只剩三句,发出来变成一个表情。","relationship"
"约会前题","约会前的准备时间,与是否有人愿意约会成反比。","relationship"
"脱单感言","我对感情的需求,介于「很想」与「算了」之间。","relationship"
"分手帖","分手的痛是阶段性的,主要痛在突然想起。","relationship"
"恋爱观","感情中讲道理的,通常都没赢。","relationship"
"吵架小记","我们吵的不是事,是各自心中的另一个人。","relationship"
"和好辞","和好的本质,是双方都不想再吵了。","relationship"
"相亲偶记","相亲是一种被预先打了折的浪漫。","relationship"
"婚事赋","婚姻是两个人的事,通常涉及四个家庭、八个亲戚和无穷个意见。","relationship"
"亲子记","父母总是知道我在想什么,前提是我告诉他们。","relationship"
"拜年辞","过年最大的挑战,是面对一年没见的亲戚问的同一个问题。","relationship"
"食赋","站在人类文明的高度俯瞰,这盘菜,是真咸。","food"
"点餐辞","点菜如人生,选择越多,后悔越多。","food"
"外卖颂","外卖到了,生活就有了奔头。","food"
"等餐题","外卖的最后一公里,是最漫长的一公里。","food"
"减肥日志","今天我决定减肥,从明天开始。","food"
"夜宵考","夜宵的诱惑大于自律,这是一项普遍真理。","food"
"宿醉记","昨晚发誓再不喝了——这话我每月说一次。","food"
"奶茶辞","我对奶茶的依赖,源于对生活的失望。","food"
"咖啡赋","我喝咖啡是为了清醒地度过我并不想清醒的早晨。","food"
"食堂帖","食堂的菜每天都不一样,但味道都一样。","food"
"自炊小记","做饭一小时,洗碗一辈子。","food"
"外食考","去网红店是一种朝圣,圣未必能见,队是真长。","food"
"新菜尝试","尝试新菜是一种冒险,失败时由胃来承担。","food"
"挑食辞","我不挑食,只是大多数食物挑我。","food"
"甜品赞","甜品是一种情绪管理工具,主要功能是让情绪暂时不重要。","food"
"零食记","我吃零食是为了缓解吃零食带来的焦虑。","food"
"辣椒考","吃辣是一种自我惩罚式的快乐。","food"
"水果题","买水果时它们最美,洗完后它们最丑。","food"
"剩饭辞","冰箱里那盒剩菜,它见证了我对未来的乐观。","food"
"早餐感言","我每天都决心吃早餐,每天都迟到。","food"
"理财辞","我的理财计划很完善,资金部分还在筹备。","money"
"账单题","看到账单的那一刻,我就明白了什么是行为经济学。","money"
"发薪日记","工资到账的喜悦,持续到我点开账单为止。","money"
"月光赋","我每月都收支平衡,余额永远是零。","money"
"投资偶得","我对股市的研究,主要是看它如何超出我的理解。","money"
"基金感言","我买的基金都很有个性,坚决和大盘反着走。","money"
"彩票辞","买彩票是用两块钱买一段美好的等待。","money"
"购物题","购物车里的东西,代表我想成为的那个我。","money"
"双十一感言","我抢的不是商品,是一种参与感。","money"
"退货记","退货是购物的最后一道工序,也是最频繁的一道。","money"
"奢侈品考","看见标签的那一刻,我读懂了自己的位置。","money"
"消费观","我的消费哲学是按需购买,需求由广告定义。","money"
"省钱辞","我省下的钱,通常会以另一种形式被花掉。","money"
"借钱记","借出去的钱,本质上是一种沉没成本。","money"
"还款帖","我设置了自动还款,主要为了避免亲眼看到那笔钱。","money"
"梦想清单","我有一个清单,上面写着等我有钱了要做的事。","money"
"中产辞","所谓中产,就是负债比一般人多一点的那种人。","money"
"财富自由","实现财富自由的第一步,是先实现财富。","money"
"买房记","看完房后我深刻理解了什么叫长期主义。","money"
"打折偶题","打折是一种心理疗法。","money"
"养生帖","我决定开始养生,从明天的不熬夜开始。","health"
"失眠录","数羊数到一千,羊都睡了我没睡。","health"
"锻炼感言","我办了健身卡,这就是我的锻炼。","health"
"跑步记","跑了两公里,膝盖说话了。","health"
"瑜伽辞","瑜伽教会我一件事:我不灵活。","health"
"体检报告","报告显示我有几项异常,医生说不严重,我觉得很严重。","health"
"感冒题","感冒来时如山倒,去时如抽丝,抽完一根又来一根。","health"
"挂号记","我挂号的速度,远不及我生病的速度。","health"
"候诊辞","排队三小时,看病三分钟,反思三天。","health"
"药考","说明书上的副作用,我大概都体验了。","health"
"作息小记","我的作息是规律的,规律地不规律。","health"
"早起观","早起的人能看见日出,我能看见手机屏幕。","health"
"午休帖","午休是一种短暂的死亡,且经常醒不过来。","health"
"熬夜辞","熬夜的快乐,熬夜过后它就走了。","health"
"运动观","运动有益健康,所以我祝你健康。","health"
"减脂题","我以为我在减脂,实际上我在减肌。","health"
"拔智齿记","我以为只是一颗牙的事,结果是半个月的事。","health"
"视力感言","我的视力,主要用于看清楚屏幕上有多少未读消息。","health"
"脱发观","我的发际线在向后退,以表达对世界的态度。","health"
"洗澡考","洗个热水澡,人间值得三十分钟。","health"
"当代偶得","我并未虚度光阴,光阴自己虚度了。","misc"
"自传第一章","出生时我什么都不会,现在我会的也不多。","misc"
"年龄题","二十岁觉得三十岁很老,三十岁觉得二十岁很傻。","misc"
"生日感言","又长了一岁,具体长在哪里有待观察。","misc"
"跨年辞","新年新气象,旧问题旧办法。","misc"
"立志帖","我立下宏愿,然后我去睡了。","misc"
"反省录","我每晚反省自己,反省的结果是明天再说。","misc"
"旅行偶记","旅行的意义,是把你从一个不想待的地方,带到另一个不想待的地方。","misc"
"行李考","我打包时带的东西,有一半在旅程结束时还原封不动。","misc"
"机场辞","机场的咖啡是世界上最贵的清醒剂。","misc"
"酒店感言","出差的酒店总是很好,只是你没心情享受。","misc"
"车站题","高铁的座位编号系统,是一个谜题。","misc"
"手机帖","我看手机是为了缓解焦虑,而焦虑由手机制造。","misc"
"信号辞","WiFi 信号的强弱,与我对当前生活的满意度成正相关。","misc"
"充电考","电量百分之一,是一种存在主义状态。","misc"
"天气小记","出门前查天气,是一种仪式感,准确率另算。","misc"
"季节赋","四季分明的城市,主要分明在让你不知道穿什么。","misc"
"春困辞","春天来了,困意也来了,夏天到了,困意还在。","misc"
"夏夜题","夏天的夜晚很凉,主要在空调底下。","misc"
"秋日偶得","秋天的悲伤是季节性的,但持续时间不限。","misc"
"冬眠辞","我对冬天的态度,是希望尽量避开它。","misc"
"猫考","我家猫不爱我,我对此表示理解。","misc"
"狗赋","狗对我的爱,远超我对它的耐心。","misc"
"追剧记","追剧是一种现代的守夜行为。","misc"
"综艺感言","我在笑,但不知道为什么笑。","misc"
"游戏考","我玩游戏是为了放松,放松的结果是更累。","misc"
"段子辞","讲段子的人通常并不快乐,听段子的人也是。","misc"
"结尾题","至此,以上所言,均无要紧。","misc"